2017-06-17 03:28:44.876382|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2017-06-17 03:28:44.876535|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-78-generic #99~14.04.2-Ubuntu SMP Thu Apr 27 18:49:46 UTC 2017 x86_64 Binary: 64bit
2017-06-17 03:28:44.876567|INFO    |ServerLibPriv |   | Using hardware aes
2017-06-17 03:28:44.877217|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2017-06-17 03:28:44.877258|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2017-06-17 03:28:44.877521|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2017-06-17 03:28:44.893395|INFO    |SQL           |   | db_CreateTables() tables created
2017-06-17 03:28:49.015166|INFO    |Accounting    |   | Licensing Information
2017-06-17 03:28:49.015216|INFO    |Accounting    |   | licensed to       : MESMERiZE
2017-06-17 03:28:49.015240|INFO    |Accounting    |   | type              : Hoster
2017-06-17 03:28:49.015276|INFO    |Accounting    |   | starting date     : Fri Jan  1 00:00:00 2010
2017-06-17 03:28:49.015300|INFO    |Accounting    |   | ending date       : Wed Jan  1 00:00:00 2025
2017-06-17 03:28:49.015321|INFO    |Accounting    |   | max virtualservers: 65535
2017-06-17 03:28:49.015341|INFO    |Accounting    |   | max slots         : 16776960
2017-06-17 03:28:50.067521|INFO    |              |   | Puzzle precompute time: 1040
2017-06-17 03:28:50.069611|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2017-06-17 03:28:50.072429|INFO    |VirtualSvrMgr |   | executing monthly interval
2017-06-17 03:28:50.072557|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2017-06-17 03:28:50.203740|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2017-06-17 03:28:50.204008|INFO    |Query         |   | listening on 0.0.0.0:10011
2017-06-17 03:33:54.154498|INFO    |Query         |   | query from 1 186.224.143.214:56942 issued: login with account "serveradmin"(serveradmin)
2017-06-17 03:34:51.325866|INFO    |VirtualSvrMgr |   | addServer() VirtualServer(2) started
2017-06-17 13:50:58.273291|INFO    |Query         |   | query from 2 186.224.143.214:49286 issued: login with account "serveradmin"(serveradmin)
2017-06-18 00:32:44.857220|INFO    |Query         |   | query from 3 186.224.143.214:50643 issued: login with account "serveradmin"(serveradmin)
2017-06-18 01:17:42.485018|INFO    |VirtualSvrMgr |   | addServer() VirtualServer(3) started
2017-06-21 21:07:16.797535|INFO    |Query         |   | query from 4 186.224.143.214:55756 issued: login with account "serveradmin"(serveradmin)
2017-06-24 03:41:37.419485|INFO    |Query         |   | query from 5 191.253.231.32:58255 issued: login with account "serveradmin"(serveradmin)
2017-06-27 00:43:33.704719|INFO    |Query         |   | query from 6 191.253.231.32:55234 issued: login with account "serveradmin"(serveradmin)
2017-06-27 00:44:13.824148|INFO    |VirtualSvrMgr |   | addServer() VirtualServer(4) started
2017-07-01 00:01:45.077323|INFO    |VirtualSvrMgr |   | executing monthly interval
2017-07-01 00:01:45.077606|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2017-07-03 00:37:56.865994|INFO    |Query         |   | query from 7 186.224.187.251:53956 issued: login with account "serveradmin"(serveradmin)
2017-07-03 00:40:50.391156|INFO    |VirtualSvrMgr |   | addServer() VirtualServer(5) started
2017-07-03 00:48:28.112487|INFO    |Query         |   | query from 8 186.224.187.251:54219 issued: login with account "serveradmin"(serveradmin)
2017-07-08 01:36:28.531094|WARNING |PktHandler    |   | detected incorrectly running system clock (>)
2017-07-08 01:36:29.833489|WARNING |PktHandler    |   | detected incorrectly running system clock (>)
2017-07-08 01:36:29.833595|WARNING |PktHandler    |   | detected incorrectly running system clock (>)
2017-07-20 00:46:26.903769|INFO    |Query         |   | query from 9 186.224.136.32:54965 issued: login with account "serveradmin"(serveradmin)
2017-07-20 00:50:25.708995|INFO    |VirtualSvrMgr |   | addServer() VirtualServer(6) started
2017-07-20 00:52:12.647449|INFO    |Query         |   | query from 10 186.224.136.32:55014 issued: login with account "serveradmin"(serveradmin)
2017-07-21 13:08:16.190315|INFO    |Query         |   | query from 11 186.224.136.32:55632 issued: login with account "serveradmin"(serveradmin)
2017-07-21 18:05:23.903064|INFO    |Query         |   | query from 12 189.28.246.40:52954 issued: login with account "serveradmin"(serveradmin)
2017-07-21 20:22:56.684004|INFO    |Query         |   | query from 13 189.28.246.40:54757 issued: login with account "serveradmin"(serveradmin)
2017-07-22 08:10:53.591548|WARNING |              |   | Accounting connection stalled
2017-07-22 08:19:54.186240|CRITICAL|Accounting    |   | The accounting thread has stalled. Terminating the server
