2017-07-22 19:13:37.015151|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2017-07-22 19:13:37.015258|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-83-generic #106~14.04.1-Ubuntu SMP Mon Jun 26 18:10:19 UTC 2017 x86_64 Binary: 64bit
2017-07-22 19:13:37.015289|INFO    |ServerLibPriv |   | Using hardware aes
2017-07-22 19:13:37.015918|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2017-07-22 19:13:37.015957|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2017-07-22 19:13:37.016652|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2017-07-22 19:13:37.076101|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2017-07-22 19:13:37.076157|ERROR   |              |   | Unable to connect to primary address, trying secondary
2017-07-22 19:13:37.076253|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2017-07-22 19:13:37.078122|ERROR   |Accounting    |   | Unable to connect to accounting server
2017-07-22 19:13:37.078165|INFO    |Accounting    |   | Licensing Information
2017-07-22 19:13:37.078188|INFO    |Accounting    |   | licensed to       : MESMERiZE
2017-07-22 19:13:37.078210|INFO    |Accounting    |   | type              : Hoster
2017-07-22 19:13:37.078243|INFO    |Accounting    |   | starting date     : Fri Jan  1 00:00:00 2010
2017-07-22 19:13:37.078266|INFO    |Accounting    |   | ending date       : Wed Jan  1 00:00:00 2025
2017-07-22 19:13:37.078287|INFO    |Accounting    |   | max virtualservers: 65535
2017-07-22 19:13:37.078308|INFO    |Accounting    |   | max slots         : 16776960
2017-07-22 19:13:38.276078|INFO    |              |   | Puzzle precompute time: 1187
2017-07-22 19:13:38.276393|ERROR   |FileManager   |   | bind() failed: 98
2017-07-22 19:13:38.276435|ERROR   |FileManager   |   | bind failed on 0.0.0.0:30033
2017-07-22 19:13:38.515164|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2017-07-22 19:13:38.515508|ERROR   |Query         |   | bind failed on 0.0.0.0:10011
2017-07-22 19:13:38.587039|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2017-07-22 19:13:38.587097|ERROR   |              |   | Unable to connect to primary address, trying secondary
2017-07-22 19:13:38.587188|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
