2017-06-17 03:28:50.190104|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2017-06-17 03:28:50.190427|INFO    |VirtualServer |  1| client 'server'(id:0) added privilege key for servergroup 'Server Admin'(id:6)
2017-06-17 03:28:50.190463|WARNING |VirtualServer |  1| --------------------------------------------------------
2017-06-17 03:28:50.190497|WARNING |VirtualServer |  1| ServerAdmin privilege key created, please use the line below
2017-06-17 03:28:50.190533|WARNING |VirtualServer |  1| token=5fQz7xOwKh5LdMCV0+dpjghqu4KJ4DsU1BgQ+lPU
2017-06-17 03:28:50.190554|WARNING |VirtualServer |  1| --------------------------------------------------------
2017-06-21 21:07:44.857879|INFO    |VirtualServer |  1| client (id:2) was added to servergroup 'Admin Server Query'(id:2) by client 'serveradmin from 186.224.143.214:55756'(id:1)
2017-06-21 21:56:01.309015|INFO    |VirtualServer |  1| permission 'b_channel_join_permanent'(id:131) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:03.299967|INFO    |VirtualServer |  1| permission 'b_channel_join_semi_permanent'(id:132) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:04.180292|INFO    |VirtualServer |  1| permission 'b_channel_join_temporary'(id:133) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:16.434979|INFO    |VirtualServer |  1| permission 'b_virtualserver_token_use'(id:38) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:20.825834|INFO    |VirtualServer |  1| permission 'b_channel_info_view'(id:81) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:22.528635|INFO    |VirtualServer |  1| permission 'b_channel_create_temporary'(id:85) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:24.152780|INFO    |VirtualServer |  1| permission 'b_channel_create_with_topic'(id:87) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:25.689901|INFO    |VirtualServer |  1| permission 'b_channel_create_with_password'(id:89) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:31.054694|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_codec_speex8'(id:90) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:33.549529|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_codec_speex16'(id:91) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:34.759513|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_codec_opusvoice'(id:94) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:41.285931|INFO    |VirtualServer |  1| permission 'i_channel_create_modify_with_codec_maxquality'(id:96) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:56:46.665990|INFO    |VirtualServer |  1| permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:97) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:56:48.032492|INFO    |VirtualServer |  1| permission 'b_channel_create_with_maxclients'(id:98) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:56:48.786290|INFO    |VirtualServer |  1| permission 'b_channel_create_with_needed_talk_power'(id:102) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:57:03.211041|INFO    |VirtualServer |  1| permission 'i_channel_max_depth'(id:77) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:57:16.737308|INFO    |VirtualServer |  1| permission 'b_client_channel_textmessage_send'(id:217) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:57:24.076694|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:57:33.369657|INFO    |VirtualServer |  1| permission 'i_ft_file_download_power'(id:235) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:57:35.273362|INFO    |VirtualServer |  1| permission 'i_ft_file_browse_power'(id:241) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:57:36.014576|INFO    |VirtualServer |  1| permission 'i_ft_quota_mb_download_per_client'(id:245) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:57:37.875388|INFO    |VirtualServer |  1| permission 'i_ft_quota_mb_upload_per_client'(id:246) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:5)
2017-06-21 21:57:40.694991|INFO    |VirtualServer |  1| permission 'b_client_request_talker'(id:185) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:5)
2017-06-21 21:59:18.273472|INFO    |VirtualServer |  1| permission 'b_virtualserver_token_use'(id:38) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:21.067034|INFO    |VirtualServer |  1| permission 'b_channel_info_view'(id:81) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:22.346256|INFO    |VirtualServer |  1| permission 'b_channel_create_temporary'(id:85) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:23.433973|INFO    |VirtualServer |  1| permission 'b_channel_create_with_topic'(id:87) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:23.734107|INFO    |VirtualServer |  1| permission 'b_channel_create_with_password'(id:89) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:24.176266|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_codec_speex8'(id:90) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:24.565864|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_codec_speex16'(id:91) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:24.972235|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_codec_opusvoice'(id:94) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:26.520472|INFO    |VirtualServer |  1| permission 'b_channel_create_with_maxclients'(id:98) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:26.937945|INFO    |VirtualServer |  1| permission 'b_channel_create_with_needed_talk_power'(id:102) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:29.199204|INFO    |VirtualServer |  1| permission 'b_channel_join_permanent'(id:131) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:30.320061|INFO    |VirtualServer |  1| permission 'b_channel_join_temporary'(id:133) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:30.723972|INFO    |VirtualServer |  1| permission 'b_channel_join_semi_permanent'(id:132) with values (value:0, negated:0, skipchannel:0) was added by 'Lucas'(id:2) to servergroup 'Guest'(id:8)
2017-06-21 21:59:42.464841|INFO    |VirtualServer |  1| permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:97) was deleted by 'Lucas'(id:2) from servergroup 'Guest'(id:8)
