2017-07-22 19:14:31.503306|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2017-07-22 19:14:31.503431|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-83-generic #106~14.04.1-Ubuntu SMP Mon Jun 26 18:10:19 UTC 2017 x86_64 Binary: 64bit
2017-07-22 19:14:31.503464|INFO    |ServerLibPriv |   | Using hardware aes
2017-07-22 19:14:31.505803|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2017-07-22 19:14:31.505847|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2017-07-22 19:14:31.506187|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2017-07-22 19:14:35.577266|INFO    |Accounting    |   | Licensing Information
2017-07-22 19:14:35.577326|INFO    |Accounting    |   | licensed to       : MESMERiZE
2017-07-22 19:14:35.577351|INFO    |Accounting    |   | type              : Hoster
2017-07-22 19:14:35.577397|INFO    |Accounting    |   | starting date     : Fri Jan  1 00:00:00 2010
2017-07-22 19:14:35.577431|INFO    |Accounting    |   | ending date       : Wed Jan  1 00:00:00 2025
2017-07-22 19:14:35.577452|INFO    |Accounting    |   | max virtualservers: 65535
2017-07-22 19:14:35.577474|INFO    |Accounting    |   | max slots         : 16776960
2017-07-22 19:14:36.628647|INFO    |              |   | Puzzle precompute time: 1039
2017-07-22 19:14:36.630728|ERROR   |FileManager   |   | bind() failed: 98
2017-07-22 19:14:36.630773|ERROR   |FileManager   |   | bind failed on 0.0.0.0:30033
2017-07-22 19:14:36.841316|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2017-07-22 19:14:36.841691|ERROR   |Query         |   | bind failed on 0.0.0.0:10011
